time Hut Table
416.76033295 27.11 29.73
417.7606465833 27.1 29.73
418.7649453667 27.11 29.73
419.7658206 27.11 29.74
420.7659479833 27.1 29.72
421.7675026833 27.09 29.72
422.7682284 27.1 29.72
423.7732751333 27.09 29.73
424.7733477 27.09 29.73
425.7758107333 27.11 29.73
426.7768428667 27.1 29.72
427.7776818833 27.1 29.72
428.7869632 27.1 29.72
429.7871996 27.12 29.71
430.7882635333 27.12 29.72
431.7896922333 27.1 29.71
432.7899283833 27.11 29.71
433.7909688667 27.12 29.73
434.7913557833 27.11 29.73
435.7921238 27.1 29.72
436.7928454833 27.11 29.71
437.7935545333 27.11 29.71
438.7943939167 27.11 29.72
439.7951403833 27.1 29.72
440.7966839833 27.1 29.73
441.7982714333 27.1 29.72
442.7986880167 27.09 29.72
443.7998706333 27.1 29.73
444.80088415 27.11 29.72
445.8020259333 27.09 29.73
446.8029328333 27.1 29.71
447.61561625 27.1 29.7
448.5055835167 27.09 29.71
449.5057177167 27.08 29.71
450.5072713333 27.08 29.72
451.5083493833 27.1 29.71
452.5098794 27.08 29.7
453.51152885 27.08 29.71
454.5115669667 27.09 29.71
455.5116704333 27.09 29.72
456.5129288 27.08 29.71
457.5144878667 27.08 29.7
458.5145447667 27.08 29.71
459.51574345 27.07 29.71
460.5172529667 27.07 29.71
461.5179399333 27.07 29.71
462.51800905 27.07 29.7
463.5188002833 27.08 29.7
464.51987465 27.07 29.69
465.52136315 27.05 29.71
466.5221980167 27.05 29.69
467.52286275 27.06 29.7
468.5243767833 27.06 29.68
469.5243826333 27.04 29.71
470.5246746333 27.05 29.7
471.5255279333 27.05 29.69
472.5257501 27.04 29.68
473.5271261833 27.04 29.69
474.5282682 27.03 29.69
475.5298547167 27.04 29.68
476.5305392333 27.04 29.68
477.5314729667 27.04 29.68
478.53253215 27.04 29.66
479.53348945 27.04 29.65
480.5348244333 27.04 29.66
481.5364403333 27.04 29.67
482.5369512667 27.04 29.65
483.53772885 27.04 29.65
484.5378997167 27.05 29.66
485.5385326 27.04 29.67
486.5396362833 27.04 29.66
487.54118845 27.05 29.67
488.54145945 27.04 29.66
489.5418289833 27.04 29.66
490.5434008833 27.04 29.67
491.5442282 27.04 29.66
492.5458670667 27.04 29.67
493.5470515667 27.05 29.67
494.5486975167 27.04 29.65
495.5495255 27.05 29.65
496.55012535 27.04 29.66
497.5509088833 27.02 29.66
498.5514468333 27.03 29.65
499.5527769667 27.03 29.65
500.5534318 27.03 29.65
501.5549275667 27.03 29.65
502.5563110667 27.03 29.67
503.5571479167 27.01 29.64
504.55748005 27.02 29.65
505.5576347 27.02 29.64
506.5577317833 27.03 29.65
507.5593646333 27.02 29.65
508.56046405 27.03 29.65
509.5608593 27.04 29.66
510.5619857333 27.04 29.67
511.3408249333 27.03 29.66
512.2143209667 27.02 29.64
513.2150112167 27.02 29.65
514.2158092333 27.02 29.67
515.2160224333 27.03 29.66
516.2172830167 27.02 29.66
517.2186578333 27.01 29.64
518.219435 27.01 29.66
519.2206844833 27.01 29.64
520.2211912833 27.02 29.62
521.22275085 27.02 29.64
522.2241803333 27.02 29.64
523.2244099667 27.02 29.65
524.2258636167 27.02 29.64
525.2262808 27.02 29.64
526.2269298167 27.01 29.64
527.2276994 27.01 29.64
528.22825045 27.02 29.63
529.2284923667 27 29.64
530.2295646333 27 29.63
531.22961725 27.01 29.64
532.2311650167 27.01 29.64
533.2317329333 27.01 29.63
534.2333780833 27.02 29.64
535.2347819667 27.01 29.64
536.23591465 27 29.64
537.2361669667 27.01 29.63
538.2371849667 27.03 29.62
539.23765705 27.02 29.6
540.2380971667 27.02 29.63
541.23911225 27.01 29.63
542.23974715 27 29.62
543.2411062667 27 29.62
544.2414812667 27.02 29.63
