 value | value | time   
 26.76 | 27.78 | 2018-09-12 15 3 34.573882
 26.74 | 27.77 | 2018-09-12 15 4 34.648323
 26.67 | 27.77 | 2018-09-12 15 5 34.717033
 26.74 | 27.77 | 2018-09-12 15 6 34.771421
 26.73 | 27.78 | 2018-09-12 15 7 34.837402
 26.77 | 27.75 | 2018-09-12 15 8 34.911647
 26.69 | 27.75 | 2018-09-12 15 9 34.966796
 26.71 | 27.75 | 2018-09-12 15 10 35.024682
 26.73 | 27.76 | 2018-09-12 15 11 35.064466
 26.71 | 27.75 | 2018-09-12 15 12 35.134589
 26.71 | 27.75 | 2018-09-12 15 13 35.198494
 26.69 | 27.75 | 2018-09-12 15 14 35.274645
 26.66 | 27.73 | 2018-09-12 15 15 35.305323
 26.7 | 27.74 | 2018-09-12 15 16 35.358363
 26.71 | 27.74 | 2018-09-12 15 17 35.419616
 26.72 | 27.76 | 2018-09-12 15 18 35.481517
 26.73 | 27.74 | 2018-09-12 15 19 35.536535
 26.74 | 27.73 | 2018-09-12 15 20 35.605413
 26.7 | 27.72 | 2018-09-12 15 21 35.655757
 26.68 | 27.74 | 2018-09-12 15 22 35.712084
 26.75 | 27.76 | 2018-09-12 15 23 35.782298
 26.73 | 27.74 | 2018-09-12 15 24 35.850557
 26.75 | 27.73 | 2018-09-12 15 25 35.909722
 26.7 | 27.72 | 2018-09-12 15 26 35.976914
 26.73 | 27.72 | 2018-09-12 15 27 36.045915
 26.72 | 27.72 | 2018-09-12 15 28 36.10641
 26.75 | 27.74 | 2018-09-12 15 29 36.187013
 26.73 | 27.72 | 2018-09-12 15 30 36.242822
 26.77 | 27.71 | 2018-09-12 15 31 36.301077
 26.7 | 27.69 | 2018-09-12 15 32 36.36712
 26.7 | 27.68 | 2018-09-12 15 33 36.429306
 26.72 | 27.68 | 2018-09-12 15 34 36.490582
 26.71 | 27.7 | 2018-09-12 15 35 36.549043
 26.71 | 27.7 | 2018-09-12 15 36 36.600785
 26.72 | 27.71 | 2018-09-12 15 37 36.650893
 26.69 | 27.71 | 2018-09-12 15 38 36.724048
 26.69 | 27.69 | 2018-09-12 15 39 36.774151
 26.71 | 27.68 | 2018-09-12 15 40 36.825402
 26.68 | 27.67 | 2018-09-12 15 41 36.882984
 26.76 | 27.69 | 2018-09-12 15 42 36.940323
 26.7 | 27.71 | 2018-09-12 15 43 37.009436
 26.71 | 27.69 | 2018-09-12 15 44 37.077103
 26.67 | 27.7 | 2018-09-12 15 45 37.138573
 26.72 | 27.7 | 2018-09-12 15 46 37.208493
 26.77 | 27.7 | 2018-09-12 15 47 37.280887
 26.77 | 27.68 | 2018-09-12 15 48 37.337651
 26.74 | 27.68 | 2018-09-12 15 49 37.400218
 26.72 | 27.69 | 2018-09-12 15 50 37.470043
 26.75 | 27.67 | 2018-09-12 15 51 37.523714
 26.74 | 27.69 | 2018-09-12 15 52 37.585346
 26.77 | 27.69 | 2018-09-12 15 53 37.653949
 26.79 | 27.69 | 2018-09-12 15 54 37.718492
